id,job_title,location,experience_level,education_level,salary
19357,Marketing Director,Jakarta,10,Magister,115000000
33144,Direktur Operasional,Jakarta,5,Sarjana,115000000
18453,Vp Engineering,Jakarta,10,Magister,110000000
26973,Head Of Business & Fraud Risk Management,Jakarta,10,Magister,100000000
34133,Management Consulting,Jakarta,3,Doktor,90000000
28256,Head Of Loan And Operation,Jakarta,10,Magister,85000000
4979,Chief Of Credit Risk,Jakarta,8,Magister,85000000
25585,Gm Property ,Jakarta,15,Magister,65000000
34575,Business Unit Director ,Jakarta,10,Magister,60000000
34655,Ceo Office,Jakarta,8,Magister,60000000
6030,Product Development Manager,Jakarta,5,Sarjana,60000000
8805,Head Of Operational Risk Management,Jakarta,15,Sarjana,57500000
25932,Head Of Marketing & Communication - Electrical Products,Jakarta,10,Magister,57500000
24533,Head Of Corporate Digital Marketing,Jakarta,10,Sarjana,55000000
34456,Head Of Strategic Partnerships,Jakarta,10,Magister,53500000
26718,Country Manager - E-Marketplace (B-72850),Jakarta,10,Magister,50000000
33091,Investment Associate - Private Equity Firm,Jakarta,5,Magister,50000000
24596,Head It Department,Jakarta,10,Magister,42000000
25166,Business Process Consultant,Jakarta,7,Sarjana,40250000
19220,Sr. Sales Manager (Data Center),Jakarta,10,Sarjana,40000000
18294,Qa Engineering Manager - Series D Startup (Remote),Jakarta,5,Magister,40000000
32741,Account Manager (Health-Tech With Agency Background),Jakarta,5,Sarjana,40000000
32833,Clinical Operation Manager,Jakarta,10,Sarjana,38500000
34045,Sap Successfactors Manager - It Consulting (A-63685),Jakarta,10,Magister,37500000
33554,Clinical Project Manager,Jakarta,6,Sarjana,36750000
23468,Head Of Warehouse,Jakarta,15,Magister,36000000
29398,Sales Director Fruit Industry,Jakarta,15,Magister,36000000
7356,Internal Audit Sr Manager,Jakarta,8,Magister,36000000
8814,Senior Legal Manager,Jakarta,10,Magister,35000000
30887,Tax Manager - Digital Tech Company,Jakarta,10,Magister,35000000
31891,Regional Head (Id: 538752),Jakarta,5,Sarjana,35000000
33901,Senior Planning Manager - E Commerce,Jakarta,5,Sarjana,34500000
33503,Regional General Manager,Jakarta,15,Sarjana,32500000
32747,Insurance Broker Director,Jakarta,10,Sarjana,32500000
32711,Insurance Claims Manager,Jakarta,5,Sarjana,32500000
7128,Pre Sales Support For South East Market,Jakarta,3,Magister,32500000
32684,Managing Director ( Ceo )  - Manufacturing Surabaya Based,Surabaya,20,Magister,30000000
28215,Plant Engineering Department Head,Jakarta,12,Sarjana,30000000
33947,Senior Associate,Jakarta,10,Magister,30000000
